Graph,Node,Node_Index,Degree_Centrality,Closeness_Centrality,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Harmonic_Centrality,Eccentricity,Clustering_Coefficient,HITS_Authority,HITS_Hub
2024-03,Node_0,0,20,0.7,50.18333333333334,0.736107408878401,0.13937796529231267,0.7857142857142857,2.0,0.32142857142857145,0.7645286876427317,0.7222738254336983
2024-03,Node_1,1,27,0.875,66.58333333333333,0.8796661145293319,0.20461823045862976,0.9285714285714285,2.0,0.22727272727272727,0.8933507129329162,0.8840420254240522
2024-03,Node_2,2,28,0.7777777777777778,55.56666666666667,1.0,0.20271404407298857,0.8571428571428571,2.0,0.2888888888888889,1.0,1.0
2024-03,Node_3,3,2,0.42424242424242425,0.0,0.1020891784978384,0.02184712704984658,0.46428571428571414,3.0,,0.1007873693810553,0.10369044224687092
2024-03,Node_4,4,4,0.5384615384615384,0.0,0.2240882100271079,0.03522601134906469,0.5714285714285714,2.0,1.0,0.22414816002204085,0.22485258044103487
2024-03,Node_5,5,5,0.5384615384615384,0.0,0.2987109612506419,0.04500081184789508,0.5952380952380952,3.0,1.0,0.3192463917451998,0.2567887587812597
2024-03,Node_6,6,5,0.5384615384615384,0.0,0.24077706190522127,0.03415476543999231,0.5952380952380952,3.0,1.0,0.24032914125758184,0.27715745743366993
2024-03,Node_7,7,7,0.6086956521739131,1.2666666666666666,0.27416992299390464,0.04383194898132348,0.6785714285714285,2.0,0.7,0.27900418395666915,0.40377751027515607
2024-03,Node_8,8,4,0.5185185185185185,0.3333333333333333,0.1581531479938342,0.033490065727871186,0.5833333333333333,3.0,0.6666666666666666,0.16226449861874434,0.15984386192060895
2024-03,Node_9,9,3,0.5384615384615384,0.0,0.10208917849783838,0.021847127049846576,0.5714285714285714,2.0,1.0,0.1007873693810553,0.22485258044103495
2024-03,Node_10,10,5,0.5384615384615384,0.65,0.2826208402861319,0.04991980062370908,0.5952380952380952,3.0,0.6666666666666666,0.2852074582335008,0.2567887587812597
