Graph,Node,Node_Index,Degree_Centrality,Closeness_Centrality,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Harmonic_Centrality,Eccentricity,Clustering_Coefficient,HITS_Authority,HITS_Hub
2024-01,Node_0,0,27,0.7777777777777778,50.43333333333333,1.0,0.18735179999951007,0.8571428571428571,2.0,0.3333333333333333,1.0,0.9632219915188461
2024-01,Node_1,1,26,0.7777777777777778,51.483333333333334,0.95975289161542,0.18174941074897127,0.8571428571428571,2.0,0.2888888888888889,0.9067458032384066,1.0
2024-01,Node_2,2,25,0.8235294117647058,46.08333333333333,0.8695732693932638,0.16425178312674563,0.8928571428571428,2.0,0.2909090909090909,0.8315372828778721,0.9136321888844592
2024-01,Node_3,3,5,0.5384615384615384,0.0,0.24889319185971417,0.03423530312237083,0.5952380952380952,3.0,1.0,0.2298213184997827,0.29991799709773137
2024-01,Node_4,4,5,0.5384615384615384,0.3333333333333333,0.28108107207776617,0.04631732966354041,0.5952380952380952,3.0,0.6666666666666666,0.2711300720911179,0.24848503209062653
2024-01,Node_5,5,6,0.56,0.8333333333333333,0.28202793012767213,0.043935305673709235,0.6309523809523809,3.0,0.6666666666666666,0.2665463609961599,0.30057323191398294
2024-01,Node_6,6,6,0.56,0.0,0.37666350420926686,0.0461189184405728,0.6071428571428571,2.0,1.0,0.3522715977486468,0.3914335737149938
2024-01,Node_7,7,4,0.5185185185185185,0.0,0.24353516100157463,0.03386899305598944,0.5595238095238094,3.0,1.0,0.2343247959085171,0.24848503209062664
2024-01,Node_8,8,1,0.4666666666666667,0.0,0.11576484865202165,0.021985377737787477,0.4999999999999999,0.0,,0.11187451665965298,7.694791638379593e-19
2024-01,Node_9,9,3,0.4666666666666667,0.0,0.1678613489671429,0.0335199207758594,0.5238095238095237,3.0,1.0,0.1540186051226423,0.14294854162436735
2024-01,Node_10,10,7,0.5833333333333334,0.0,0.4268080924714503,0.05591918860919453,0.6428571428571428,2.0,1.0,0.4073327365657657,0.39143357371499393
2024-01,Node_11,11,2,0.45161290322580644,0.0,0.12777031234955294,0.023129453390009932,0.48809523809523797,3.0,,0.1224502792488641,0.12961799019694578
2024-01,Node_12,12,7,0.5833333333333334,0.0,0.37666350420926686,0.0461189184405728,0.6428571428571428,2.0,1.0,0.3522715977486468,0.4496611943629328
2024-01,Node_13,13,5,0.5384615384615384,0.8333333333333333,0.26089865555724534,0.035379378774593274,0.5952380952380952,3.0,0.6666666666666666,0.24039708108899382,0.2945832668066142
2024-01,Node_14,14,7,0.56,0.0,0.37666350420926686,0.04611891844057281,0.6071428571428571,2.0,1.0,0.3522715977486468,0.5343821153393609
2024-02,Node_0,0,22,0.7368421052631579,55.400000000000006,0.8239470075833805,0.16727419084126754,0.8214285714285714,2.0,0.3055555555555556,0.8174848775744227,0.8195845295943679
2024-02,Node_1,1,28,0.8235294117647058,72.74761904761905,1.0,0.20794870757593403,0.8928571428571428,2.0,0.2727272727272727,1.0,1.0
2024-02,Node_2,2,23,0.7368421052631579,44.95714285714285,0.8986445262629807,0.15156810652737232,0.8214285714285714,2.0,0.3055555555555556,0.9096398878382175,0.9503249970194367
2024-02,Node_3,3,7,0.5833333333333334,3.471428571428571,0.406971209380549,0.0637014126552581,0.6428571428571428,3.0,0.6666666666666666,0.414127885126899,0.2736313896646421
2024-02,Node_4,4,5,0.5384615384615384,1.2333333333333334,0.2726289267896763,0.04529462666899855,0.5952380952380952,3.0,0.6666666666666666,0.27763642503484626,0.25226401136275023
2024-02,Node_5,5,2,0.4375,0.0,0.1263030351796067,0.02073607421235554,0.47619047619047605,3.0,,0.13382367542903653,0.12625657018278805
2024-02,Node_6,6,5,0.5185185185185185,0.2857142857142857,0.2668514183148589,0.033361531458037254,0.5833333333333333,3.0,0.6666666666666666,0.2746425277677165,0.3128490891490071
2024-02,Node_7,7,3,0.45161290322580644,0.0,0.11580441970497372,0.0229257329286434,0.5119047619047618,3.0,1.0,0.11541295285201578,0.15200109565351935
2024-02,Node_8,8,5,0.5185185185185185,0.0,0.3206330776458116,0.0431975751402069,0.5833333333333333,3.0,1.0,0.3344829761862549,0.2650549802688279
2024-02,Node_9,9,2,0.4666666666666667,0.0,0.14054838313525225,0.022625457245681716,0.4999999999999999,3.0,,0.14081885233867997,0.1387984100860397
2024-02,Node_10,10,6,0.56,1.0857142857142859,0.3313638736032303,0.05445605800054622,0.6309523809523809,3.0,0.5,0.34434190456902486,0.25226401136275056
2024-02,Node_11,11,7,0.5833333333333334,0.5333333333333333,0.38265583801983283,0.04628726438668065,0.6428571428571428,2.0,0.8333333333333334,0.3900554806197322,0.42494628684103725
2024-02,Node_12,12,4,0.45161290322580644,0.0,0.17300356516600784,0.040974466514299875,0.5119047619047618,3.0,1.0,0.15394541110842883,0.17094589330461832
2024-02,Node_13,13,6,0.56,0.0,0.3826558380198327,0.04628726438668065,0.6071428571428571,2.0,1.0,0.3900554806197322,0.3785205815455387
2024-02,Node_14,14,5,0.5185185185185185,0.2857142857142857,0.266851418314859,0.033361531458037254,0.5833333333333333,3.0,0.6666666666666666,0.2746425277677165,0.3128490891490071
2024-03,Node_0,0,28,0.9333333333333333,61.23888888888889,0.9172012057953824,0.19553069058613587,0.9642857142857142,2.0,0.25641025641025644,0.9524640088670946,0.7904503346206568
2024-03,Node_1,1,31,0.875,56.83888888888888,1.0,0.18754269699316894,0.9285714285714285,2.0,0.28787878787878785,0.9999999999999999,1.0
2024-03,Node_2,2,26,0.7777777777777778,29.494444444444444,0.9540217793610465,0.156104097049215,0.8571428571428571,2.0,0.3333333333333333,0.9771872562577305,0.8877710371280566
2024-03,Node_3,3,8,0.5833333333333334,0.8722222222222222,0.4913265852893946,0.05291791690091252,0.6428571428571428,2.0,0.8333333333333334,0.5041077034585152,0.3722499773446151
2024-03,Node_4,4,6,0.5833333333333334,0.0,0.25104060335785,0.04512612264969657,0.6428571428571428,2.0,0.8333333333333334,0.26745381520806166,0.22733212228084684
2024-03,Node_5,5,4,0.5384615384615384,0.0,0.24332670201845577,0.032747904777624834,0.5714285714285714,2.0,1.0,0.24538485184023648,0.22733212228084682
2024-03,Node_6,6,5,0.56,0.0,0.24799988327093891,0.030170012123287692,0.6071428571428571,2.0,1.0,0.25872285161827874,0.34110940668762396
2024-03,Node_7,7,6,0.56,0.0,0.3644089194320402,0.04295471112315042,0.6071428571428571,2.0,1.0,0.36705567409171,0.34110940668762396
2024-03,Node_8,8,6,0.56,0.0,0.36440891943204,0.042954711123150434,0.6071428571428571,2.0,1.0,0.36705567409171,0.34110940668762396
2024-03,Node_9,9,6,0.56,0.0,0.36440891943204,0.04295471112315044,0.6071428571428571,2.0,1.0,0.36705567409171,0.34110940668762396
2024-03,Node_10,10,5,0.56,0.5333333333333333,0.23749125357468534,0.032991505345388326,0.6071428571428571,3.0,0.6666666666666666,0.23000364472490478,0.24113745684279872
2024-03,Node_11,11,6,0.56,0.0,0.36440891943204,0.042954711123150434,0.6071428571428571,2.0,1.0,0.36705567409171,0.34110940668762396
2024-03,Node_12,12,4,0.5185185185185185,0.0,0.2479998832709388,0.030170012123287692,0.5595238095238094,3.0,1.0,0.25872285161827874,0.23021073529161828
2024-03,Node_13,13,6,0.56,1.0222222222222221,0.24332670201845577,0.03274790477762484,0.6071428571428571,2.0,1.0,0.24538485184023648,0.28961326359482925
